time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1335.85,0,0,0,0,0,0
1335.851,0,0,0,0,0,0
1335.852,0,0,0,0,0,0
1335.853,0,0,0,0,0,0
1335.854,0,0,0,0,0,0
1335.855,0,0,0,0,0,0
1335.856,0,0,0,0,0,0
1335.857,0,0,0,0,0,0
1335.858,0,0,0,0,0,0
1335.859,0,0,0,0,0,0
1335.86,0,0,0,0,0,0
1335.861,0,0,0,0,0,0
1335.862,0,0,0,0,0,0
1335.863,0,0,0,0,0,0
1335.864,0,0,0,0,0,0
1335.865,0,0,0,0,0,0
1335.866,0,0,0,0,0,0
1335.867,0,0,0,0,0,0
1335.868,0,0,0,0,0,0
1335.869,0,0,0,0,0,0
1335.87,0,0,0,0,0,0
1335.871,0,0,0,0,0,0
1335.872,0,0,0,0,0,0
1335.873,0,0,0,0,0,0
1335.874,0,0,0,0,0,0
1335.875,0,0,0,0,0,0
1335.876,0,0,0,0,0,0
1335.877,0,0,0,0,0,0
1335.878,0,0,0,0,0,0
1335.879,0,0,0,0,0,0
1335.88,0,0,0,0,0,0
1335.881,0,0,0,0,0,0
1335.882,0,0,0,0,0,0
1335.883,0,0,0,0,0,0
1335.884,0,0,0,0,0,0
1335.885,0,0,0,0,0,0
1335.886,0,0,0,0,0,0
1335.887,0,0,0,0,0,0
1335.888,0,0,0,0,0,0
1335.889,0,0,0,0,0,0
1335.89,0,0,0,0,0,0
1335.891,0,0,0,0,0,0
1335.892,0,0,0,0,0,0
1335.893,0,0,0,0,0,0
1335.894,0,0,0,0,0,0
1335.895,0,0,0,0,0,0
1335.896,0,0,0,0,0,0
1335.897,0,0,0,0,0,0
1335.898,0,0,0,0,0,0
1335.899,0,0,0,0,0,0
1335.9,0,0,0,0,0,0
1335.901,0,0,0,0,0,0
1335.902,0,0,0,0,0,0
1335.903,0,0,0,0,0,0
1335.904,0,0,0,0,0,0
1335.905,0,0,0,0,0,0
1335.906,0,0,0,0,0,0
1335.907,0,0,0,0,0,0
1335.908,0,0,0,0,0,0
1335.909,0,0,0,0,0,0
1335.91,0,0,0,0,0,0
1335.911,0,0,0,0,0,0
1335.912,0,0,0,0,0,0
1335.913,0,0,0,0,0,0
1335.914,0,0,0,0,0,0
1335.915,0,0,0,0,0,0
1335.916,0,0,0,0,0,0
1335.917,0,0,0,0,0,0
1335.918,0,0,0,0,0,0
1335.919,0,0,0,0,0,0
1335.92,0,0,0,0,0,0
1335.921,0,0,0,0,0,0
1335.922,0,0,0,0,0,0
1335.923,0,0,0,0,0,0
1335.924,0,0,0,0,0,0
1335.925,0,0,0,0,0,0
1335.926,0,0,0,0,0,0
1335.927,0,0,0,0,0,0
1335.928,0,0,0,0,0,0
1335.929,0,0,0,0,0,0
1335.93,0,0,0,0,0,0
1335.931,0,0,0,0,0,0
1335.932,0,0,0,0,0,0
1335.933,0,0,0,0,0,0
1335.934,0,0,0,0,0,0
1335.935,0,0,0,0,0,0
1335.936,0,0,0,0,0,0
1335.937,0,0,0,0,0,0
1335.938,0,0,0,0,0,0
1335.939,0,0,0,0,0,0
1335.94,0,0,0,0,0,0
1335.941,0,0,0,0,0,0
1335.942,0,0,0,0,0,0
1335.943,0,0,0,0,0,0
1335.944,0,0,0,0,0,0
1335.945,0,0,0,0,0,0
1335.946,0,0,0,0,0,0
1335.947,0,0,0,0,0,0
1335.948,0,0,0,0,0,0
1335.949,0,0,0,0,0,0
1335.95,0,0,0,0,0,0
1335.951,0,0,0,0,0,0
1335.952,0,0,0,0,0,0
1335.953,0,0,0,0,0,0
1335.954,0,0,0,0,0,0
1335.955,0,0,0,0,0,0
1335.956,0,0,0,0,0,0
1335.957,0,0,0,0,0,0
1335.958,0,0,0,0,0,0
1335.959,0,0,0,0,0,0
1335.96,0,0,0,0,0,0
1335.961,0,0,0,0,0,0
1335.962,0,0,0,0,0,0
