time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
3.737,0,-0.0034358617849648,0,1.19209289550781e-07
3.738,0,-0.00343586201779544,0,1.19209289550781e-07
3.739,0,-0.00343586248345673,0,1.19209289550781e-07
3.74,0,-0.00343586294911802,0,1.19209289550781e-07
3.741,0,-0.00343586341477931,0,1.19209289550781e-07
3.742,0,-0.00343586388044059,0,1.19209289550781e-07
3.743,0,-0.00343586419088145,0,1.19209289550781e-07
3.744,0,-0.00343586450132231,0,1.19209289550781e-07
3.745,0,-0.00343586481176317,0,1.19209289550781e-07
3.746,0,-0.00343586512220403,0,1.19209289550781e-07
3.747,0,-0.00343586543264488,0,1.19209289550781e-07
3.748,0,-0.00343586574308574,0,1.19209289550781e-07
3.749,0,-0.00343586615053937,0,1.19209289550781e-07
3.75,0,-0.00343586655799299,0,1.19209289550781e-07
3.751,0,-0.00343586696544662,0,1.19209289550781e-07
3.752,0,-0.00343586737290025,0,1.19209289550781e-07
3.753,0,-0.00343586760573089,0,1.19209289550781e-07
3.754,0,-0.00343586783856153,0,1.19209289550781e-07
3.755,0,-0.00343586807139218,0,1.19209289550781e-07
3.756,0,-0.00343586830422282,0,1.19209289550781e-07
3.757,0,-0.00343586876988411,0,1.19209289550781e-07
3.758,0,-0.0034358692355454,0,1.19209289550781e-07
3.759,0,-0.00343586970120668,0,1.19209289550781e-07
3.76,0,-0.00343587001164754,0,1.19209289550781e-07
3.761,0,-0.0034358703220884,0,1.19209289550781e-07
3.762,0,-0.00343587063252926,0,1.19209289550781e-07
3.763,0,-0.00343587115639821,0,1.19209289550781e-07
3.764,0,-0.00343587168026716,0,1.19209289550781e-07
3.765,0,-0.0034358722041361,0,1.19209289550781e-07
3.766,0,-0.00343587272800505,0,1.19209289550781e-07
3.767,0,-0.00343587290262803,0,1.19209289550781e-07
3.768,0,-0.00343587307725102,0,1.19209289550781e-07
3.769,0,-0.003435873251874,0,1.19209289550781e-07
3.77,0,-0.00343587342649698,0,1.19209289550781e-07
3.771,0,-0.00343587381454806,0,1.19209289550781e-07
3.772,0,-0.00343587420259913,0,1.19209289550781e-07
3.773,0,-0.0034358745906502,0,1.19209289550781e-07
3.774,0,-0.00343587505631149,0,1.19209289550781e-07
3.775,0,-0.00343587552197278,0,1.19209289550781e-07
3.776,0,-0.00343587598763406,0,1.19209289550781e-07
3.777,0,-0.00343587637568513,0,1.19209289550781e-07
3.778,0,-0.00343587676373621,0,1.19209289550781e-07
3.779,0,-0.00343587715178728,0,1.19209289550781e-07
3.78,0,-0.00343587738461792,0,1.19209289550781e-07
3.781,0,-0.00343587761744857,0,1.19209289550781e-07
3.782,0,-0.00343587785027921,0,1.19209289550781e-07
3.783,0,-0.00343587808310986,0,1.19209289550781e-07
3.784,0,-0.00343587854877114,0,1.19209289550781e-07
3.785,0,-0.00343587901443243,0,1.19209289550781e-07
3.786,0,-0.00343587948009372,0,1.19209289550781e-07
3.787,0,-0.00343587971292436,0,1.19209289550781e-07
3.788,0,-0.003435879945755,0,1.19209289550781e-07
3.789,0,-0.00343588017858565,0,1.19209289550781e-07
3.79,0,-0.00343588072185715,0,1.19209289550781e-07
3.791,0,-0.00343588126512865,0,1.19209289550781e-07
3.792,0,-0.00343588180840015,0,1.19209289550781e-07
3.793,0,-0.00343588211884101,0,1.19209289550781e-07
3.794,0,-0.00343588242928187,0,1.19209289550781e-07
3.795,0,-0.00343588273972273,0,1.19209289550781e-07
3.796,0,-0.00343588289494316,0,1.19209289550781e-07
3.797,0,-0.00343588305016359,0,1.19209289550781e-07
3.798,0,-0.00343588320538402,0,1.19209289550781e-07
3.799,0,-0.0034358836710453,0,1.19209289550781e-07
3.8,0,-0.00343588413670659,0,1.19209289550781e-07
3.801,0,-0.00343588460236788,0,1.19209289550781e-07
3.802,0,-0.00343588495161384,0,1.19209289550781e-07
3.803,0,-0.00343588530085981,0,1.19209289550781e-07
3.804,0,-0.00343588565010577,0,1.19209289550781e-07
3.805,0,-0.00343588599935174,0,1.19209289550781e-07
3.806,0,-0.00343588646501303,0,1.19209289550781e-07
3.807,0,-0.00343588693067431,0,1.19209289550781e-07
3.808,0,-0.0034358873963356,0,1.19209289550781e-07
3.809,0,-0.00343588770677646,0,1.19209289550781e-07
3.81,0,-0.00343588801721732,0,1.19209289550781e-07
3.811,0,-0.00343588832765818,0,1.19209289550781e-07
3.812,0,-0.00343588863809903,0,1.19209289550781e-07
3.813,0,-0.00343588894853989,0,1.19209289550781e-07
3.814,0,-0.00343588925898075,0,1.19209289550781e-07
3.815,0,-0.00343588956942161,0,1.19209289550781e-07
3.816,0,-0.00343588987986247,0,1.19209289550781e-07
3.817,0,-0.00343589019030333,0,1.19209289550781e-07
3.818,0,-0.00343589065596461,0,1.19209289550781e-07
3.819,0,-0.0034358911216259,0,1.19209289550781e-07
3.82,0,-0.00343589158728719,0,1.19209289550781e-07
3.821,0,-0.00343589197533826,0,1.19209289550781e-07
3.822,0,-0.00343589236338933,0,1.19209289550781e-07
3.823,0,-0.00343589275144041,0,1.19209289550781e-07
3.824,0,-0.00343589321710169,0,1.19209289550781e-07
3.825,0,-0.00343589368276298,0,1.19209289550781e-07
3.826,0,-0.00343589414842427,0,1.19209289550781e-07
3.827,0,-0.00343589438125491,0,1.19209289550781e-07
3.828,0,-0.00343589461408556,0,1.19209289550781e-07
3.829,0,-0.0034358948469162,0,1.19209289550781e-07
3.83,0,-0.00343589507974684,0,1.19209289550781e-07
3.831,0,-0.00343589546779791,0,1.19209289550781e-07
3.832,0,-0.00343589585584899,0,1.19209289550781e-07
3.833,0,-0.00343589624390006,0,1.19209289550781e-07
3.834,0,-0.00343589659314603,0,1.19209289550781e-07
3.835,0,-0.00343589694239199,0,1.19209289550781e-07
3.836,0,-0.00343589729163796,0,1.19209289550781e-07
3.837,0,-0.00343589764088392,0,1.19209289550781e-07
3.838,0,-0.00343589779610435,0,1.19209289550781e-07
3.839,0,-0.00343589795132478,0,1.19209289550781e-07
3.84,0,-0.00343589810654521,0,1.19209289550781e-07
3.841,0,-0.0034358985722065,0,1.19209289550781e-07
3.842,0,-0.00343589903786778,0,1.19209289550781e-07
3.843,0,-0.00343589950352907,0,1.19209289550781e-07
3.844,0,-0.00343589996919036,0,1.19209289550781e-07
3.845,0,-0.00343590043485165,0,1.19209289550781e-07
3.846,0,-0.00343590090051293,0,1.19209289550781e-07
3.847,0,-0.00343590136617422,0,1.19209289550781e-07
3.848,0,-0.00343590183183551,0,1.19209289550781e-07
3.849,0,-0.0034359022974968,0,1.19209289550781e-07
3.85,0,-0.00343590253032744,0,1.19209289550781e-07
3.851,0,-0.00343590276315808,0,1.19209289550781e-07
3.852,0,-0.00343590299598873,0,1.19209289550781e-07
3.853,0,-0.00343590322881937,0,1.19209289550781e-07
3.854,0,-0.00343590353926023,0,1.19209289550781e-07
3.855,0,-0.00343590384970109,0,1.19209289550781e-07
3.856,0,-0.00343590416014194,0,1.19209289550781e-07
3.857,0,-0.00343590470341345,0,1.19209289550781e-07
3.858,0,-0.00343590524668495,0,1.19209289550781e-07
3.859,0,-0.00343590578995645,0,1.19209289550781e-07
3.86,0,-0.00343590602278709,0,1.19209289550781e-07
3.861,0,-0.00343590625561774,0,1.19209289550781e-07
3.862,0,-0.00343590648844838,0,1.19209289550781e-07
3.863,0,-0.00343590687649945,0,1.19209289550781e-07
3.864,0,-0.00343590726455053,0,1.19209289550781e-07
3.865,0,-0.0034359076526016,0,1.19209289550781e-07
3.866,0,-0.00343590800184757,0,1.19209289550781e-07
3.867,0,-0.00343590835109353,0,1.19209289550781e-07
3.868,0,-0.0034359087003395,0,1.19209289550781e-07
3.869,0,-0.00343590904958546,0,1.19209289550781e-07
3.87,0,-0.00343590951524675,0,1.19209289550781e-07
3.871,0,-0.00343590998090804,0,1.19209289550781e-07
3.872,0,-0.00343591044656932,0,1.19209289550781e-07
3.873,0,-0.00343591067939997,0,1.19209289550781e-07
3.874,0,-0.00343591091223061,0,1.19209289550781e-07
3.875,0,-0.00343591114506125,0,1.19209289550781e-07
3.876,0,-0.00343591149430722,0,1.19209289550781e-07
3.877,0,-0.00343591184355319,0,1.19209289550781e-07
3.878,0,-0.00343591219279915,0,1.19209289550781e-07
3.879,0,-0.00343591254204512,0,1.19209289550781e-07
3.88,0,-0.00343591285248597,0,1.19209289550781e-07
3.881,0,-0.00343591316292683,0,1.19209289550781e-07
3.882,0,-0.00343591347336769,0,1.19209289550781e-07
3.883,0,-0.003435913764406,0,1.19209289550781e-07
3.884,0,-0.0034359140554443,0,1.19209289550781e-07
3.885,0,-0.0034359143464826,0,1.19209289550781e-07
3.886,0,-0.00343591463752091,0,1.19209289550781e-07
3.887,0,-0.00343591487035155,0,1.19209289550781e-07
3.888,0,-0.0034359151031822,0,1.19209289550781e-07
3.889,0,-0.00343591533601284,0,1.19209289550781e-07
3.89,0,-0.00343591541362305,0,1.19209289550781e-07
3.891,0,-0.00343591549123327,0,1.19209289550781e-07
3.892,0,-0.00343591556884348,0,1.19209289550781e-07
3.893,0,-0.00343591551063582,0,1.19209289550781e-07
3.894,0,-0.00343591545242816,0,1.19209289550781e-07
3.895,0,-0.0034359153942205,0,1.19209289550781e-07
3.896,0,-0.00343591533601284,0,1.19209289550781e-07
3.897,0,-0.00343591549123327,0,1.19209289550781e-07
3.898,0,-0.0034359156464537,0,1.19209289550781e-07
3.899,0,-0.00343591580167413,0,1.19209289550781e-07
3.9,0,-0.00343591595689456,0,1.19209289550781e-07
3.901,0,-0.00343591611211499,0,1.19209289550781e-07
3.902,0,-0.00343591626733541,0,1.19209289550781e-07
3.903,0,-0.0034359167329967,0,1.19209289550781e-07
3.904,0,-0.00343591719865799,0,1.19209289550781e-07
3.905,0,-0.00343591766431928,0,1.19209289550781e-07
3.906,0,-0.00343591805237035,0,1.19209289550781e-07
3.907,0,-0.00343591844042142,0,1.19209289550781e-07
3.908,0,-0.0034359188284725,0,1.19209289550781e-07
3.909,0,-0.00343591913891335,0,1.19209289550781e-07
3.91,0,-0.00343591944935421,0,1.19209289550781e-07
3.911,0,-0.00343591975979507,0,1.19209289550781e-07
3.912,0,-0.00343591993441805,0,1.19209289550781e-07
3.913,0,-0.00343592010904104,0,1.19209289550781e-07
3.914,0,-0.00343592028366402,0,1.19209289550781e-07
3.915,0,-0.003435920458287,0,1.19209289550781e-07
3.916,0,-0.0034359210015585,0,1.19209289550781e-07
3.917,0,-0.00343592154483,0,1.19209289550781e-07
3.918,0,-0.00343592208810151,0,1.19209289550781e-07
3.919,0,-0.00343592239854236,0,1.19209289550781e-07
3.92,0,-0.00343592270898322,0,1.19209289550781e-07
3.921,0,-0.00343592301942408,0,1.19209289550781e-07
3.922,0,-0.00343592340747515,0,1.19209289550781e-07
3.923,0,-0.00343592379552623,0,1.19209289550781e-07
3.924,0,-0.0034359241835773,0,1.19209289550781e-07
3.925,0,-0.00343592457162837,0,1.19209289550781e-07
3.926,0,-0.00343592495967944,0,1.19209289550781e-07
3.927,0,-0.00343592534773052,0,1.19209289550781e-07
3.928,0,-0.0034359258133918,0,1.19209289550781e-07
3.929,0,-0.00343592627905309,0,1.19209289550781e-07
3.93,0,-0.00343592674471438,0,1.19209289550781e-07
3.931,0,-0.00343592709396034,0,1.19209289550781e-07
3.932,0,-0.00343592744320631,0,1.19209289550781e-07
3.933,0,-0.00343592779245228,0,1.19209289550781e-07
3.934,0,-0.00343592814169824,0,1.19209289550781e-07
3.935,0,-0.00343592837452888,0,1.19209289550781e-07
3.936,0,-0.00343592860735953,0,1.19209289550781e-07
3.937,0,-0.00343592884019017,0,1.19209289550781e-07
3.938,0,-0.00343592913122848,0,1.19209289550781e-07
3.939,0,-0.00343592942226678,0,1.19209289550781e-07
3.94,0,-0.00343592971330509,0,1.19209289550781e-07
3.941,0,-0.00343593000434339,0,1.19209289550781e-07
3.942,0,-0.00343593039239446,0,1.19209289550781e-07
3.943,0,-0.00343593078044554,0,1.19209289550781e-07
3.944,0,-0.00343593116849661,0,1.19209289550781e-07
3.945,0,-0.00343593155654768,0,1.19209289550781e-07
3.946,0,-0.00343593194459875,0,1.19209289550781e-07
3.947,0,-0.00343593233264983,0,1.19209289550781e-07
3.948,0,-0.00343593279831111,0,1.19209289550781e-07
3.949,0,-0.0034359332639724,0,1.19209289550781e-07
3.95,0,-0.00343593372963369,0,1.19209289550781e-07
3.951,0,-0.00343593396246433,0,1.19209289550781e-07
3.952,0,-0.00343593419529498,0,1.19209289550781e-07
3.953,0,-0.00343593442812562,0,1.19209289550781e-07
3.954,0,-0.00343593466095626,0,1.19209289550781e-07
3.955,0,-0.00343593528183798,0,1.19209289550781e-07
3.956,0,-0.0034359359027197,0,1.19209289550781e-07
3.957,0,-0.00343593652360141,0,1.19209289550781e-07
3.958,0,-0.00343593675643206,0,1.19209289550781e-07
3.959,0,-0.0034359369892627,0,1.19209289550781e-07
3.96,0,-0.00343593722209334,0,1.19209289550781e-07
3.961,0,-0.00343593745492399,0,1.19209289550781e-07
3.962,0,-0.00343593768775463,0,1.19209289550781e-07
3.963,0,-0.00343593815341592,0,1.19209289550781e-07
3.964,0,-0.00343593861907721,0,1.19209289550781e-07
3.965,0,-0.00343593908473849,0,1.19209289550781e-07
3.966,0,-0.00343593943398446,0,1.19209289550781e-07
3.967,0,-0.00343593978323042,0,1.19209289550781e-07
3.968,0,-0.00343594013247639,0,1.19209289550781e-07
3.969,0,-0.00343594048172235,0,1.19209289550781e-07
3.97,0,-0.00343594077276066,0,1.19209289550781e-07
3.971,0,-0.00343594106379896,0,1.19209289550781e-07
3.972,0,-0.00343594135483727,0,1.19209289550781e-07
3.973,0,-0.00343594164587557,0,1.19209289550781e-07
3.974,0,-0.00343594218914707,0,1.19209289550781e-07
3.975,0,-0.00343594273241858,0,1.19209289550781e-07
3.976,0,-0.00343594327569008,0,1.19209289550781e-07
3.977,0,-0.00343594345031306,0,1.19209289550781e-07
3.978,0,-0.00343594362493604,0,1.19209289550781e-07
3.979,0,-0.00343594379955903,0,1.19209289550781e-07
3.98,0,-0.00343594397418201,0,1.19209289550781e-07
3.981,0,-0.0034359444398433,0,1.19209289550781e-07
3.982,0,-0.00343594490550458,0,1.19209289550781e-07
3.983,0,-0.00343594537116587,0,1.19209289550781e-07
3.984,0,-0.00343594566220418,0,1.19209289550781e-07
3.985,0,-0.00343594595324248,0,1.19209289550781e-07
3.986,0,-0.00343594624428079,0,1.19209289550781e-07
3.987,0,-0.00343594653531909,0,1.19209289550781e-07
3.988,0,-0.00343594682635739,0,1.19209289550781e-07
3.989,0,-0.0034359471173957,0,1.19209289550781e-07
3.99,0,-0.003435947408434,0,1.19209289550781e-07
3.991,0,-0.00343594769947231,0,1.19209289550781e-07
3.992,0,-0.0034359481651336,0,1.19209289550781e-07
3.993,0,-0.00343594863079488,0,1.19209289550781e-07
3.994,0,-0.00343594909645617,0,1.19209289550781e-07
3.995,0,-0.00343594940689703,0,1.19209289550781e-07
3.996,0,-0.00343594971733789,0,1.19209289550781e-07
3.997,0,-0.00343595002777874,0,1.19209289550781e-07
3.998,0,-0.00343595041582982,0,1.19209289550781e-07
3.999,0,-0.00343595080388089,0,1.19209289550781e-07
4,0,-0.00343595119193196,0,1.19209289550781e-07
4.001,0,-0.00343595142476261,0,1.19209289550781e-07
4.002,0,-0.00343595165759325,0,1.19209289550781e-07
4.003,0,-0.00343595189042389,0,1.19209289550781e-07
4.004,0,-0.00343595212325454,0,1.19209289550781e-07
4.005,0,-0.00343595258891582,0,1.19209289550781e-07
