time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
85.713,0,4.63835903019556e-09,0,0
85.714,0,4.62382843124942e-09,0,0
85.715,0,4.60580433051889e-09,0,0
85.716,0,4.58778022978836e-09,0,0
85.717,0,4.56975612905808e-09,0,0
85.718,0,4.55478410543714e-09,0,0
85.719,0,4.5398120818162e-09,0,0
85.72,0,4.52484005819548e-09,0,0
85.721,0,4.50986803457454e-09,0,0
85.722,0,4.49229039152964e-09,0,0
85.723,0,4.474712748485e-09,0,0
85.724,0,4.4571351054401e-09,0,0
85.725,0,4.44328840387688e-09,0,0
85.726,0,4.42944170231385e-09,0,0
85.727,0,4.41559500075063e-09,0,0
85.728,0,4.40174829918741e-09,0,0
85.729,0,4.38812719494303e-09,0,0
85.73,0,4.37450609069846e-09,0,0
85.731,0,4.36088498645389e-09,0,0
85.732,0,4.34726388220952e-09,0,0
85.733,0,4.32727749929038e-09,0,0
85.734,0,4.30729111637125e-09,0,0
85.735,0,4.2873047334524e-09,0,0
85.736,0,4.27331414698524e-09,0,0
85.737,0,4.25932356051807e-09,0,0
85.738,0,4.2453329740511e-09,0,0
85.739,0,4.23134238758394e-09,0,0
85.74,0,4.21820534057806e-09,0,0
85.741,0,4.20506829357237e-09,0,0
85.742,0,4.19193124656649e-09,0,0
85.743,0,4.17879419956058e-09,0,0
85.744,0,4.16343937104095e-09,0,0
85.745,0,4.1480845425211e-09,0,0
85.746,0,4.13272971400123e-09,0,0
85.747,0,4.11567431986736e-09,0,0
85.748,0,4.09861892573325e-09,0,0
85.749,0,4.08156353159922e-09,0,0
85.75,0,4.06958733378811e-09,0,0
85.751,0,4.05761113597683e-09,0,0
85.752,0,4.04563493816555e-09,0,0
85.753,0,4.03365874035444e-09,0,0
85.754,0,4.02188060633076e-09,0,0
85.755,0,4.01010247230707e-09,0,0
85.756,0,3.99832433828355e-09,0,0
85.757,0,3.98654620425987e-09,0,0
85.758,0,3.97095571239932e-09,0,0
85.759,0,3.955365220539e-09,0,0
85.76,0,3.93977472867846e-09,0,0
85.761,0,3.92756671629959e-09,0,0
85.762,0,3.9153587039209e-09,0,0
85.763,0,3.90315069154204e-09,0,0
85.764,0,3.89094267916313e-09,0,0
85.765,0,3.87578088142005e-09,0,0
85.766,0,3.86061908367675e-09,0,0
85.767,0,3.84545728593349e-09,0,0
85.768,0,3.83303818315041e-09,0,0
85.769,0,3.82061908036716e-09,0,0
85.77,0,3.8081999775839e-09,0,0
85.771,0,3.79509520106082e-09,0,0
85.772,0,3.78199042453755e-09,0,0
85.773,0,3.76888564801427e-09,0,0
85.774,0,3.75420109814203e-09,0,0
85.775,0,3.73951654826959e-09,0,0
85.776,0,3.72483199839718e-09,0,0
85.777,0,3.71324215819864e-09,0,0
85.778,0,3.70165231799993e-09,0,0
85.779,0,3.69006247780122e-09,0,0
85.78,0,3.67847263760268e-09,0,0
85.781,0,3.66498653647789e-09,0,0
85.782,0,3.6515004353531e-09,0,0
85.783,0,3.6380143342285e-09,0,0
85.784,0,3.62383071698477e-09,0,0
85.785,0,3.60964709974104e-09,0,0
85.786,0,3.59546348249751e-09,0,0
85.787,0,3.58366936126227e-09,0,0
85.788,0,3.57187524002703e-09,0,0
85.789,0,3.56008111879196e-09,0,0
85.79,0,3.54828699755672e-09,0,0
85.791,0,3.53528406549224e-09,0,0
85.792,0,3.52228113342796e-09,0,0
85.793,0,3.50927820136349e-09,0,0
85.794,0,3.5002063469846e-09,0,0
85.795,0,3.49113449260585e-09,0,0
85.796,0,3.48206263822697e-09,0,0
85.797,0,3.47299078384805e-09,0,0
85.798,0,3.46095774261806e-09,0,0
85.799,0,3.44892470138791e-09,0,0
85.8,0,3.43689166015793e-09,0,0
85.801,0,3.42508125565164e-09,0,0
85.802,0,3.41327085114536e-09,0,0
85.803,0,3.40146044663925e-09,0,0
85.804,0,3.38976017625701e-09,0,0
85.805,0,3.37805990587477e-09,0,0
85.806,0,3.3663596354927e-09,0,0
85.807,0,3.35393816423366e-09,0,0
85.808,0,3.34151669297462e-09,0,0
