time,QEIdata.omega,QEIdata.theta,Voltage
0.583,1.533980846,1.199869633,12
0.584,1.533980846,1.202324152,12
0.586,1.533980846,1.204165101,12
0.587,1.533980846,1.20661962,12
0.588,1.533980846,1.208767295,12
0.589,1.533980846,1.210608244,12
0.59,1.533980846,1.212755919,12
0.591,3.067961693,1.215210438,12
0.592,3.067961693,1.217664957,12
0.593,1.533980846,1.219505787,12
0.594,1.533980846,1.221653461,12
0.595,3.067961693,1.223494291,12
0.596,1.533980846,1.225948811,12
0.597,1.533980846,1.22778976,12
0.598,3.067961693,1.229630589,12
0.599,1.533980846,1.232085109,12
0.6,1.533980846,1.233619213,12
0.601,3.067961693,1.235460043,12
0.602,3.067961693,1.237607718,12
0.603,1.533980846,1.239448667,12
0.604,1.533980846,1.241596341,12
0.605,3.067961693,1.243437171,12
0.606,3.067961693,1.24589169,12
0.607,1.533980846,1.247732639,12
0.608,1.533980846,1.249880314,12
0.609,0,1.252027988,12
0.61,1.533980846,1.254482388,12
0.611,3.067961693,1.257243633,12
0.612,1.533980846,1.259084582,12
0.613,1.533980846,1.261232257,12
0.614,1.533980846,1.263686776,12
0.615,3.067961693,1.265834451,12
0.616,1.533980846,1.2676754,12
0.617,1.533980846,1.269823074,12
0.618,1.533980846,1.271970749,12
0.619,3.067961693,1.274118423,12
0.62,1.533980846,1.276572943,12
0.621,1.533980846,1.278107047,12
0.622,1.533980846,1.280868292,12
0.623,1.533980846,1.282709241,12
0.624,1.533980846,1.284856915,12
0.625,1.533980846,1.28700459,12
0.626,3.067961693,1.289152265,12
0.628,3.067961693,1.290993094,12
0.629,3.067961693,1.293447495,12
0.629,1.533980846,1.295288444,12
0.63,1.533980846,1.297436118,12
0.631,1.533980846,1.299583793,12
0.632,1.533980846,1.301731467,12
0.633,1.533980846,1.303572416,12
0.635,3.067961693,1.306333661,12
0.636,3.067961693,1.308481336,12
0.637,0,1.309708595,12
0.638,3.067961693,1.312162995,12
0.639,1.533980846,1.31431067,12
0.64,1.533980846,1.316765189,12
0.641,3.067961693,1.319526434,12
0.642,1.533980846,1.321367383,12
0.643,3.067961693,1.323515058,12
0.644,3.067961693,1.325662613,12
0.645,1.533980846,1.327503562,12
0.646,1.533980846,1.329344511,12
0.647,1.533980846,1.331798911,12
0.648,1.533980846,1.33425343,12
0.649,1.533980846,1.336401105,12
0.65,1.533980846,1.338242054,12
0.651,3.067961693,1.340082884,12
0.652,1.533980846,1.341923833,12
0.653,3.067961693,1.344071507,12
0.654,3.067961693,1.346219182,12
0.655,1.533980846,1.347753286,12
0.656,1.533980846,1.350207686,12
0.657,1.533980846,1.352048635,12
0.658,1.533980846,1.354503155,12
0.659,3.067961693,1.356650829,12
0.66,3.067961693,1.358491778,12
0.661,1.533980846,1.360332727,12
0.662,3.067961693,1.362480283,12
0.663,1.533980846,1.364321232,12
0.664,3.067961693,1.366775751,12
0.665,3.067961693,1.36923027,12
0.666,3.067961693,1.371377945,12
0.667,1.533980846,1.373218894,12
0.669,1.533980846,1.375366569,12
0.67,1.533980846,1.377207518,12
0.671,1.533980846,1.379662037,12
0.672,3.067961693,1.381809592,12
0.673,1.533980846,1.383957267,12
0.674,3.067961693,1.386104941,12
0.675,1.533980846,1.388559461,12
0.676,1.533980846,1.390707135,12
0.677,3.067961693,1.39285481,12
0.678,3.067961693,1.395309329,12
0.679,3.067961693,1.397457004,12
0.68,1.533980846,1.399297953,12
0.681,1.533980846,1.401445627,12
0.682,1.533980846,1.403593302,12
0.683,3.067961693,1.406354547,12
0.684,3.067961693,1.408502221,12
0.685,1.533980846,1.410649896,12
0.686,3.067961693,1.412183881,12
0.687,1.533980846,1.4146384,12
0.688,1.533980846,1.417399645,12
0.69,1.533980846,1.419854164,12
0.691,1.533980846,1.422001839,12
0.692,3.067961693,1.424149394,12
0.693,3.067961693,1.426603794,12
0.694,1.533980846,1.427831173,12
0.695,1.533980846,1.430592418,12
0.696,3.067961693,1.433353662,12
0.697,3.067961693,1.435501337,12
0.698,1.533980846,1.437342286,12
0.699,1.533980846,1.439489961,12
0.7,1.533980846,1.441637635,12
0.701,3.067961693,1.44378531,12
0.702,1.533980846,1.445932984,12
0.703,1.533980846,1.448080659,12
0.704,1.533980846,1.450535178,12
0.705,3.067961693,1.452989578,12
0.706,3.067961693,1.454523683,12
0.707,3.067961693,1.456671357,12
0.708,1.533980846,1.458512306,12
0.709,3.067961693,1.460966706,12
0.71,3.067961693,1.463114262,12
0.711,3.067961693,1.465261936,12
0.712,1.533980846,1.467409611,12
0.713,1.533980846,1.46986413,12
0.714,0,1.47170496,12
0.715,1.533980846,1.473852634,12
0.716,1.533980846,1.475693583,12
0.718,1.533980846,1.478148103,12
0.719,0,1.480602503,12
0.72,1.533980846,1.483363748,12
0.721,3.067961693,1.485511422,12
0.722,1.533980846,1.487352371,12
0.723,3.067961693,1.489500046,12
0.724,1.533980846,1.491954565,12
0.725,1.533980846,1.494102359,12
0.726,3.067961693,1.496250033,12
0.727,0,1.498090863,12
0.728,1.533980846,1.500238538,12
0.729,1.533980846,1.502386212,12
0.73,1.533980846,1.504533887,12
0.731,3.067961693,1.506681561,12
0.732,1.533980846,1.508522511,12
0.733,1.533980846,1.51036346,12
0.734,1.533980846,1.512511134,12
0.735,1.533980846,1.514045238,12
0.736,3.067961693,1.516192913,12
0.737,1.533980846,1.518033862,12
0.738,3.067961693,1.521101952,12
0.739,1.533980846,1.522636056,12
0.74,3.067961693,1.524783731,12
0.741,1.533980846,1.52662456,12
0.742,1.533980846,1.528465509,12
0.743,1.533980846,1.530306458,12
0.744,3.067961693,1.533067703,12
0.745,3.067961693,1.537976623,12
0.748,3.067961693,1.540124297,12
0.749,3.067961693,1.542271972,12
0.75,1.533980846,1.544112921,12
